target,ecoli_strain,ncbi_taxid
DDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)DDManHep,K12,83333
Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHep(a1-5)Kdo,K12,83333
D-FucNAc(a1-4)ManNAcA(b1-4)GlcNAc(a1-3)D-FucNAc,K12,83333
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)Glc,K12,83333
LDManHep(a1-6)Glc(a1-2)Glc,K12,83333
GlcNAc(b1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHep(a1-5)[Kdo(a2-4)KdoOPPEtn(a2-4)]Kdo,K12,83333
GlcNAc(b1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHep(a1-5)[Rha(a1-5)KdoOPPEtn(a2-4)]Kdo,K12,83333
LDManHep(a1-4)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)[Rha(a1-5)]KdoOPEtn(a2-4)]Kdo,K12,83333
GlcNAc(b1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc,K12,83333
Rha(a1-2)Rha(a1-5)Kdo(b2-3)Rha,K12,83333
GlcNAc(b1-2)[Glc(a1-6)Glc(a1-3)]Rha(a1-3)FucNAc(a1-4)GlcNAc,K12,83333
Kdo(b2-3)Rha(a1-2)Rha(a1-5)Kdo(b2-3)Rha(a1-2)Rha,K12,83333
Rha(a1-3)Rha(a1-2)Gal(a1-3)GlcNAc(a1-3)Rha,K12,83333
Rha(a1-3)Rha(a1-2)Gal(a1-3)GlcNAc(a1-3)GlcNAc(b1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc,K12,83333
Rha(a1-2)Gal(a1-3)GlcNAc,K12,83333
Rha(a1-3)Rha(a1-2)Gal(a1-3)GlcNAc,K12,83333
Man(a1-2)Man(a1-2)Man(a1-3)Man,K12,83333
Rha(a1-2)Rha(a1-5)KdoOAc(b2-3)Rha,K12,83333
GalOPyr(b1-4)GlcA(b1-3)Gal(b1-4)[Fuc(a1-3)Glc(b1-4)]Fuc,K12,83333
D-FucNAc(a1-4)ManOAcA(b1-4)GlcNAc(a1-3)D-FucNAc,K12,83333
GlcNAc(a1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHep(a1-5)[Rha(a1-5)Kdo(a2-4)]Kdo,K12,83333
GlcNAc(a1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHep(a1-5)[Kdo(a2-5)Kdo(a2-4)]Kdo,K12,83333
Galf(b1-6)Glc(a1-3)RhaOAc(a1-3)[Glc(a1-6)]GlcNAc(a1-2)Galf,K12,83333
Galf(b1-6)Glc(a1-3)FucNAc(a1-3)[Glc(a1-6)]GlcNAc(a1-2)Galf,K12,83333
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,K12,83333
GlcN(b1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,K12,83333
GalOPyr(a1-4)GlcA(b1-3)GalOAc(a1-3)Fuc(a1-4)FucOAc(a1-3)Glc(b1-7)LDManHep,K12,83333
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc,K12,83333
Glc(a1-3)RhaOAc(a1-3)[Glc(a1-6)]GlcNAc,K12,83333
Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[Kdo(a2-4)[Rha(a1-5)]Kdo(a2-4)]Kdo,K12,83333
[GalOPyr(a1-4)GlcA(b1-3)GalOAc(a1-3)]Fuc(b1-4)FucOAc(a1-3)Glc(b1-4)Fuc,K12,83333
KdoOAc(b2-3)Rha(a1-2)Rha(a1-5)KdoOAc,K12,83333
GalNAc(a1-4)GalNAc(a1-4)[Glc(b1-3)]GalNAc(a1-4)GalNAc(a1-4)GalNAc(a1-3)GlcNAc(b1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)Glc(a1-3)[Gal(a1-6)]LDManHepOP,K12,83333
KdoOPEtn(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,K12,83333
KdoOP(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,K12,83333
Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,K12,83333
Kdo(a2-4)Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,K12/WBB51,83333
Kdo(a2-8)Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,K12/WBB51,83333
Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,K12/WBB51,83333
Kdo(a2-4)[Kdo(a2-8)]Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,K12/WBB52,83333
Kdo(a2-4)Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,K12/WBB52,83333
Kdo(a2-8)Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,K12/WBB52,83333
Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,K12/WBB52,83333
Kdo(a2-8)Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,K12/WBB53,83333
Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,K12/WBB53,83333
Galf(b1-3)Gal(a1-3)GlcNAc,K12/mutant,83333
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHep(a1-5)Kdo,K12/pGEM,83333
Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)[Rha(a1-5)]Kdo(a2-4)]Kdo,K12/W3100,316407
Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo,K12/W3100,316407
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo,K12/W3100,316407
GlcNAc(b1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo,K12/W3100,316407
Galf(b1-6)Glc(a1-3)RhaOAc(a1-3)[Glc(a1-6)]GlcNAc(a1-2)Galf,K12/O16,83333
GlcNAc(b1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc,K12/O16/MFFF1,83333
Glc(a1-3)Rha(a1-3)[Glc(a1-6)]GlcNAc(b1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc,K12/O16/MFFF1/pMF19,83333
Ribf(b1-7)KdoOAc(b2-3)Ribf,K13,562
Ribf(b1-2)Ribf(b1-7)KdoOMe,K13,562
Ribf(b1-7)Kdo(b2-3)Ribf,K13,562
GalNAc(b1-5)KdoOAc(b2-6)GalNAc,K14,562
KdoOAc(b2-6)GalNAc(b1-5)KdoOAc,K14,562
KdoOP(b2-6)GalNAc(b1-5)KdoOP,K14,562
RibfOAc(b1-3)Ribf(b1-5)Kdo(a2-3)RibfOAc,K16,562
RibfOAc(b1-2)RibOP-ol(2-5)RibfOAc,K18,562
Ribf(b1-4)Kdo(b2-3)Ribf,K19,562
GalOPGro(a1-5)GalfOPGro(a1-4)GalOPGro,K2,562
RibfOAc(b1-7)Kdo(b2-3)RibfOAc,K20,562
Ribf(b1-2)RibOP-ol(2-5)Ribf,K22,562
Ribf(b1-7)Kdo(b2-3)Ribf,K23,562
GlcA(b1-3)GalNAc(a1-3)GalNAc(a1-2)Fuc(a1-2)GlcA,K25,562
GlcA(b1-3)Rha(a1-3)Rha(a1-3)Rha(a1-3)Gal(b1-3)GlcA,K26,562
Rha(a1-3)Gal(b1-3)[RhaOPyr(a1-4)]GlcA(b1-3)Rha(a1-3)Rha(a1-3)Rha,K26,562
[Gal(a1-3)]Glc(a1-4)GlcA(a1-3)Fuc(a1-4)Glc,K27,562
[Gal(b1-4)]Glc(a1-4)GlcA(b1-4)FucOAc(a1-3)Glc,K28,562
Man(a1-3)Glc(b1-3)[GlcOPyr(b1-2)Man(a1-4)]GlcA(b1-3)Gal(a1-2)Man,K29,562
Rha(a1-3)Rha(a1-3)Rha(a1-2)Rha,K3,562
[GlcA(b1-3)Gal(a1-3)]Man(a1-3)Gal(b1-2)Man,K30,562
Glc(b1-3)Gal(a1-3)Man(a1-3)Gal,K30,562
GlcA(b1-3)Gal(a1-3)Man(a1-3)Gal,K30,562
Glc(a1-3)Gal(b1-3)[Rha(a1-4)]GlcA(a1-2)Rha(a1-2)Rha(a1-2)Glc,K31,562
[GlcA(a1-3)Gal(a1-3)]RhaOAc(a1-3)Glc(b1-4)RhaOAc,K32,562
Glc(a1-4)GlcAOPyr(b1-4)[Gal(a1-3)]FucOAc(a1-3)Glc,K33,562
GlcA(b1-4)[Glc(a1-4)Gal(b1-3)]Gal(b1-3)Gal(b1-2)GlcA,K34,562
[Gal(b1-4)GlcA(a1-3)]Man(b1-4)Glc(a1-3)Glc(b1-4)Man,K35,562
Gal(b1-3)[Man(a1-4)]GalA(a1-2)Man(a1-3)Gal,K36,562
Glc(b1-3)[GalOPyr(a1-4)]Gal(a1-3)Glc,K37,562
GlcNAc(a1-4)GalA(a1-2)Ribf(b1-4)Gal(b1-3)GalNAc(b1-4)GlcNAc,K38,562
Gal(a1-3)Man(a1-3)Glc(b1-6)Glc-ol,K39,562
Glc(a1-4)GlcA(b1-2)[Gal(a1-3)]Man(a1-3)Glc(b1-6)Glc,K39,562
[Fruf(b2-3)]GlcA(b1-3)GalNAc(b1-4)GlcA,K4,562
GlcA(b1-3)GalNAc(b1-4)GlcA,K4,562
IdoA(a1-3)GalNAc(b1-4)IdoA,K4,562
GalNAc(b1-4)[Fruf(b2-3)]GlcA(b1-3)GalNAc,K4,562
[Fruf(b2-3)]GlcA(b1-4)GalNAc(b1-4)GlcA,K4,562
[Fruf(b2-3)]GlcA(b1-3)GalNAc(b1-4)GlcA(b1-3)GalNAc(b1-4)GlcA,K4,562
[Fruf(b2-3)]GlcA(b1-3)GalNAc(b1-4)GlcA,K4/O5:K4:H4,562
GlcA(b1-3)GalNAc(b1-4)GlcA,K4/O5:K4:H4,562
Fruf(b2-3)L-4dThrHex4en(a1-3)GalNAc,K4/O5:K4:H4,562
GlcASer(b1-4)GlcNAc(a1-6)GlcNAc(a1-4)GlcASer,K40,562
GlcNAc(a1-4)GlcASer(b1-4)GlcNAc(a1-6)GlcNAc,K40,562
Gal(a1-3)GalA(a1-3)Fuc(a1-3)Gal,K42,562
GlcA(b1-3)Rha(a1-4)GlcNAc(a1-6)GalNAc(b1-4)GlcA,K44,562
GlcA(b1-3)Rha(a1-4)GlcNAc(a1-6)GalNAc,K44,562
[D-FucNAc(b1-3)]GlcNAc(a1-4)GalA(b1-3)GlcNAc(b1-6)GlcNAc,K45,562
[Glc(b1-2)]Gal(b1-3)GlcNAc(b1-3)RhaOPGro(a1-3)Gal,K46,562
GlcNAc(b1-2)GalOPyr(b1-4)Man(b1-4)Gal(a1-3)GlcNAc,K47,562
[RhaNAc(b1-3)]GlcNAc(b1-4)GlcA(b1-3)GlcNAc(b1-4)GlcNAc,K48,562
RhaNAc(b1-3)[GlcNAc(b1-4)]GlcNAc,K48,562
GlcAThr(b1-6)Gal(b1-6)Glc(b1-3)GalNAc(b1-4)GlcAThr,K49,562
GlcA(b1-4)GlcNAc(a1-4)GlcA,K5,562
GlcA(b1-4)GlcNAc(b1-4)GlcA,K5,562
GalNAc(a1-4)GlcA(b1-3)GalNAc,K5,562
Glc(b1-2)[GalNAc(a1-3)]Man(b1-4)Man(b1-3)GlcNAc(b1-3)Glc(a1-3)[Gal(a1-2)Gal(a1-2)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[Kdo(a2-4)]Kdo,K5,562
GlcNAcOS(a1-4)GlcA(b1-4)GlcOSN(a1-4)IdoOSA(a1-4)GlcOSN(a1-4)GlcNAcOS,K5,562
ManNAcA(b1-4)GlcOAc(b1-3)ManNAcA,K5,562
Rha(a1-2)Rha(a1-5)KdoOAc(b2-3)Rha,K5,562
[Fruf(b2-3)]GlcA(b1-4)GalNAc(b1-4)GlcA,K5,562
NeuNAc(a2-8)NeuNAc(a2-8)NeuNAc,K5,562
NeuNAc(a2-9)NeuNAc(a2-8)NeuNAc,K5,562
GlcOSN(a1-4)GlcA(b1-4)GlcOSN(a1-4)GlcOSA(b1-4)GlcOSN(a1-4)GlcOSN,K5,562
GlcA(a1-4)GlcNAc(b1-4)GlcA,K5,562
GlcOSA(a1-4)GlcNAcOS(b1-4)GlcOSA,K5,562
GlcOSA(a1-4)GlcOSN(b1-4)GlcOSA,K5,562
GlcA(b1-4)GlcNAc(a1-4)GlcA,K5/ATCC23506,562
Rha(b1-4)GlcNAc(a1-2)ManOPyr(b1-3)ManNAc(a1-3)Rha,K50,562
GlcNAcOP(a1-3)GlcNAcOP(a1-3)GlcNAcOP(a1-3)GlcNAc,K51,562
[Fruf(b2-2)]GalOAcOP(a1-3)GalOAcOP,K52,562
GalfOAc(b1-4)GlcA(b1-3)GalfOAc,K53,562
GlcAThr(b1-3)Rha(a1-3)GlcAThr,K54,562
GlcASer(b1-3)Rha(a1-3)GlcASer,K54,562
GlcA(b1-4)Glc(b1-3)ManOAcOPyr(b1-4)GlcA,K55,562
ManNAcA(b1-4)GlcOAc(b1-3)ManNAcA,K56,562
Gal(b1-3)GlcNAc(a1-4)GalA(a1-2)Ribf(b1-4)Gal,K57,562
Ribf(b1-4)Gal(b1-3)GlcNAc(a1-4)GalA(a1-2)Ribf,K57,562
[Ribf(b1-2)]Ribf(b1-7)Kdo(b2-3)Ribf,K6,562
Ribf(b1-2)Ribf(b1-7)Kdo(a2-2)Ribf,K6,562
[Ribf(b1-2)]Ribf(b1-7)Kdo(a2-3)[Ribf(b1-2)]Ribf(b1-3)Ribf,K6,562
Gal(a1-2)Ribf(b1-4)Gal,K61,562
ManNAcA(b1-4)GlcOAc(b1-3)ManNAcA,K7,562
RibfOAc(b1-2)Ribf(b1-6)Kdof(b2-3)RibfOAc,K74,562
RibfOAc(b1-2)Ribf(b1-6)Kdof(b2-3)RibfOAc,K74/H702c,562
Ribf(b1-2)Ribf(b1-6)Kdof(b2-3)Ribf,K74/H702c,562
GalNAc(b1-2)Gal(b1-3)GlcNAc(a1-3)GlcOAcA(b1-3)GalNAc,K8,562
Rha(a1-2)Rha(a1-5)Kdo,K82,562
Rha(a1-2)Rha(a1-5)KdoOAc(b2-3)Rha,K82,562
Man(a1-4)GalA(a1-3)GlcNAc(b1-2)Gal(a1-3)RhaOAc(a1-4)Man,K83,562
GalA(a1-3)Man(a1-4)Glc(b1-3)GlcNAc(a1-2)Man(b1-3)ManNAc(b1-4)GalA,K84,562
GlcA(b1-4)FucNAcOAc(a1-3)[Glc(b1-4)]GlcNAc(b1-6)Gal(a1-4)GlcA,K87,562
GlcA(b1-3)FucNAc(a1-3)[Glc(b1-4)]GlcNAc(b1-6)Gal(a1-4)GlcA,K87,562
Gal(b1-3)GalNAc(b1-4)Gal(a1-4)NeuNAc,K9,562
Gal(b1-3)GalNAc(b1-4)Gal(a1-4)NeuNAc(a2-3)Gal,K9,562
NeuNAc(a2-9)NeuNAc(a2-8)NeuNAc,K92,562
NeuNAc(a2-8)NeuNAc(a2-9)NeuNAc,K92,562
NeuNAc(a2-8)NeuNAc(a2-9)NeuNAc(a2-9)NeuNAc,K92,562
GalfOAc(b1-4)GlcA(b1-3)GalfOAc,K93,562
Ribf(b1-8)Kdof(b2-3)Ribf,K95,562
GlcA(b1-3)Rha(a1-3)GlcA,K96,562
ManNAc(a1-3)GlcA(b1-3)[Gal(b1-6)]Gal(b1-3)GlcNAc(b1-3)ManNAc,K99,562
GalOPyr(a1-4)GlcA(b1-3)GalOAc(a1-3)Fuc(a1-4)FucOAc(a1-3)Glc(b1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPEtn(a1-5)Kdo,KPM22,562
GlcAGroN(b1-4)Glc(b1-4)GalA(b1-3)GlcNAc(b1-3)GlcAGroN,L19,562
Ribf(b1-2)Ribf(b1-7)KdoOMe,LP1092,562
[Ribf(b1-2)]Ribf(b1-7)Kdo(b2-3)Ribf,LP1092,562
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,MR28,562
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,MR28,562
Gal(b1-4)GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,MR28,562
Gal(b1-4)GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,MR28,562
Gal(b1-4)GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,MR28,562
Gal(b1-4)GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)Glc,MR28,562
Gal(a1-3)Gal(b1-4)Glc,MR47,562
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,MR47,562
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,MR47,562
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,MR47,562
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,MR47,562
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,MR47,562
[RhaNAcNFo(b1-3)]Man(b1-3)Gal(a1-4)Rha(a1-3)GlcNAc(a1-2)Man,NRCC4325,562
[RhaNAcNFo(b1-3)]Man(b1-3)Gal(a1-4)Rha(a1-3)GlcNAc(a1-2)Man,NRCC4326,562
Glc(b1-2)[GalNAc(a1-3)]Man(b1-4)Man(b1-3)GlcNAc(b1-3)Glc(a1-3)[Gal(a1-2)Gal(a1-2)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[Kdo(a2-4)]Kdo,Nissle1917,316435
GlcNAc(b1-3)[D-FucNBut(a1-2)]Rha(a1-3)Rha(a1-3)Gal(a1-3)GlcNAc,O10,1010798
GlcNAc(b1-3)[D-FucNAc(a1-2)]Rha(a1-3)Rha(a1-3)Gal(a1-3)GlcNAc,O10,1010798
[D-FucNBut(a1-2)]Rha(a1-3)Rha(a1-3)Gal(a1-3)GlcNAc(b1-3)Rha,O10,1010798
[D-FucNAc(a1-2)]Rha(a1-3)Rha(a1-3)Gal(a1-3)GlcNAc(b1-3)Rha,O10,1010798
GlcNAc(a1-2)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHepOPPEtn(a1-7)]LDManHepOPPEtn(a1-3)[LDManHepOPPEtn(a1-7)]LDManHepOPEtn,O100,562
GlcNAc(a1-2)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHepOPPEtn(a1-7)]LDManHepOPPEtn(a1-3)[LDManHepOPPEtn(a1-7)]LDManHepOPPEtn(a1-4)Kdo,O100,562
GlcNAc(a1-2)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHepOPPEtn(a1-7)]LDManHepOPPEtn(a1-3)[LDManHepOPPEtn(a1-7)]LDManHepOPPEtn(a1-5)Kdo,O100,562
GlcNAc(a1-2)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc,O100,562
RhaOPGro(a1-3)Rha(a1-3)Gal(a1-3)GlcNAc(b1-2)RhaOPGro,O100/G1058,562
GlcNAc(a1-4)GalNAc(a1-6)GlcNAc,O101,2067428
GalNAc(b1-4)GalNAc(a1-4)GalNAc,O101,2067428
Glc(b1-2)D-FucNBut(b1-6)GlcNAc(a1-4)GalNAc(a1-3)GlcNAc(b1-2)Glc,O103,1055536
Glc(b1-2)D-FucNBut(b1-6)GlcNAc(a1-4)GalNAc(a1-3)GlcNAc(b1-2)Glc,O103:H2,562
Gal(a1-4)NeuNAc(a2-3)Gal(b1-3)GalNAc(b1-4)Gal,O104,562
Gal(a1-4)NeuNAcOAc(a2-3)Gal(b1-3)GalNAc(b1-4)Gal,O104,562
Gal(b1-3)GalNAc(b1-4)Gal(a1-4)NeuNAcOAc(a2-3)Gal,O104,562
Gal(b1-3)GalNAc(b1-4)[GlcNAc(a1-2)]Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc,O104,562
NeuNAcOAc(a2-3)Gal(b1-3)GalNAc,O104,562
Gal(a1-4)NeuNAcOAc(a2-3)Gal(b1-3)GalNAc,O104,562
NeuNAc(a2-3)Gal(b1-3)GalNAcOP,O104,562
Gal(a1-4)NeuNAc(a2-3)Gal(b1-3)GalNAcOP,O104,562
GlcOAcA(a1-2)[Ribf(b1-3)]RhaOAc(a1-3)Rha(b1-4)Rha(b1-3)GlcNAcOAc(b1-4)GlcOAcA,O105,562
[Ribf(b1-4)GlcA(a1-2)]Rha(a1-3)Rha(b1-4)Rha(a1-3)GlcNAc(b1-3)Rha,O105/G2806,562
Man(a1-2)Man(a1-2)[Glc(a1-4)]Man(b1-3)GlcNAc(a1-6)Man,O106,2234096
Man(a1-2)Man(a1-2)[Glc(a1-4)]Man(b1-3)[Glc(a1-6)]GlcNAc(a1-6)Man,O106,2234096
GalNAc(b1-3)Rha(a1-4)GlcNAc(a1-4)Gal(b1-3)GalNAc(a1-4)GalNAc,O107,562
[GlcA(b1-2)]Rha(a1-2)Rha(a1-3)RhaOAc(a1-3)Rha,O107,562
GalNAc(b1-3)Rha(a1-4)GlcNAc(a1-4)Gal(b1-3)GalNAc(a1-4)GalNAc,O107/H705,562
FucNAc(a1-3)GlcNAc(a1-4)8eLegNAcNAcGro,O108,562
8eLegNAcNAc(a2-6)Gal(a1-3)FucNAc(a1-3)GlcNAc(a1-4)8eLegNAcNAc,O108,562
[RhaNAcOAc(b1-3)]Glc(a1-3)6dTalOAc(a1-3)GlcNAc(b1-4)Glc,O109,562
GlcA(b1-4)GlcNAc(a1-4)GlcA,O10:K5:H4,562
[Fuc(a1-3)]GalNAc(a1-6)Man(a1-3)Fuc(a1-3)GalNAc(b1-4)GalNAc,O11,1095705
Fuc(a1-3)GalNAc(a1-6)Man(a1-3)Fuc(a1-3)GalNAc,O11,1095705
Rha(a1-3)QuiNAc(b1-3)Rha,O11/G1207,562
[Fuc(a1-3)]GalNAc(a1-6)Man(a1-3)Fuc(a1-3)GalNAc(b1-4)GalNAc,O11/G1207,562
Fuc(a1-3)GalNAc(b1-4)GalNAcGro,O11/G1207,562
RhaOAc(a1-3)QuiNAc(b1-3)RhaOAc,O11/G1207,562
GlcAThr(a1-4)Gal(a1-3)Gal(a1-3)GlcNAc(b1-4)GlcAThr,O110,562
[Col(a1-3)][Col(a1-6)]Glc(a1-4)Gal(a1-3)GlcNAc(b1-4)Glc,O111,1055535
[Col(a1-3)][Col(a1-6)]Glc(a1-4)Gal(a1-3)GlcNAc(a1-4)Glc,O111,1055535
Glc(a1-2)Glc(a1-2)[GlcNAc(a1-3)]Gal(a1-3)Glc,O111,1055535
Col(a1-3)[Col(a1-6)]Glc(a1-4)Gal(a1-3)GlcNAc,O111,1055535
[Col(a1-3)][Col(a1-6)]Glc(a1-4)Gal(a1-3)GlcNAc(b1-4)Glc,O111:B4,1055535
Glc(a1-2)Glc(a1-2)[GlcNAc(a1-3)]Gal(a1-3)Glc(a1-3)[GlcN(a1-7)LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[Kdo(a2-4)KdoOPEtn(a2-4)]Kdo,O111:B4,1055535
Glc(a1-2)Glc(a1-2)[GlcNAc(a1-3)]Gal(a1-3)Glc(a1-3)[GlcN(a1-7)LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[Kdo(a2-4)]Kdo,O111:B4,1055535
[GlcNAc(b1-3)]GalNAc(a1-4)Glc(a1-4)IdoA(a1-3)GalNAc(b1-4)GalNAc,O112ab,562
[GlcNAcOAcOPyr(b1-3)]GalNAc(a1-4)Glc(a1-4)Gal(b1-3)GalNAc(b1-4)GalNAc,O112ac,562
[Gal(b1-3)]GalNAc(a1-4)GalA(a1-3)Gal(a1-3)GlcNAc(b1-4)GalNAc,O113,1162729
Gal(b1-3)GalNAc(a1-4)GalA(a1-3)Gal(a1-3)GlcNAc,O113,1162729
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc,O113:H21,562
Glc(a1-2)Glc(a1-2)[GlcNAc(a1-3)]Gal(a1-3)Glc,O113:H4,562
QuiNSerAc(b1-3)Ribf(b1-4)Gal(b1-3)GlcNAc(a1-4)QuiNSerAc,O114,562
[Rha(b1-4)]GlcNAc(b1-4)GalA(a1-3)Man(a1-3)GlcNAc(b1-3)GlcNAc,O115,562
[RhaOAc(b1-4)]GlcNAc(b1-4)GalOAcA(a1-3)Man(a1-3)GlcNAc(b1-3)GlcNAc,O115,562
Rha(b1-4)GlcNAc(b1-4)GalA,O115,562
QuiNAc(b1-6)GlcNAc(a1-4)GalNAc(a1-4)GalA(a1-3)GlcNAc(b1-2)QuiNAc,O116,562
QuiNAc(b1-6)GlcNAc(a1-4)GalNAc(a1-4)GalA(a1-3)GlcNAc(b1-2)QuiNAc,O116:K+:H10,562
GlcNAc(a1-4)GalNAc(b1-4)GalA(a1-3)GlcNAc,O116:K+:H10,562
