glycan_id,glycan,species,immunogenicity,inferred_origin,link
8535,GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Chordata,
8536,Gal(b1-3)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc,,,Chordata,
8537,GlcA(b1-2)GlcA(b1-2)Rha,,,Angiosperms,
8538,Gal(a1-3)GlcNAc(a1-3)Rha(a1-3)Rha(a1-2)Gal(a1-3)GlcNAc(a1-3)Rha,['Shigella_dysenteriae'],,,
8539,GalNAc(b1-4)[NeuNAc(a2-3)]Gal(b1-4)GlcNAc(b1-4)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],0,,N
8540,Glc(b1-6)Glc(b1-4)[Glc(b1-4)Gal(a1-6)]Glc(b1-2)Man(a1-3)[Glc(b1-3)Glc(b1-6)Glc(b1-4)GalA(a1-4)Gal(a1-6)]Glc(b1-6)[Glc(b1-3)Glc(b1-3)]Glc(b1-6)Glc(b1-4)Man(a1-4)Gal(a1-3)Glc(b1-3)Glc,['Ganoderma_atrum'],,,
8541,GalNAc(a1-3)[GlcNAc(b1-2)]Man(b1-4)Man(b1-3)GlcNAc(a1-4)GalNAc,['Escherichia_coli'],,,
8542,Glc(a1-4)GlcNAc(a1-4)[Fuc(a1-2)]Gal(a1-3)GalNAc,,,Chordata,
8543,Glc(a1-3)[Araf(a1-6)]Glc,,,Bacteria,
8544,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[Gal(b1-6)]Gal(b1-3)GalNAc,,,Chordata,
8545,Xyl(b1-4)[Rha(a1-6)][Glc(b1-2)]Glc,['Asparagus_cochinchinensis'],,,
8546,GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Bothrops_moojeni'],,,N
8547,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],0,,N
8548,Man(a1-2)ManOP(a1-2)Man(a1-6)Man(a1-4)GlcOPN,,,Bacteria,
8549,NeuNAc(a2-3)Gal(b1-3)GalNAcOS,['Gallus_gallus'],,,O
8550,Man(a1-3)Man(a1-4)Thr,,,none,
8551,Glc(b1-3)[Glc(b1-6)]Glc(b1-6)Glc,,,Eukarya,
8552,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Bos_taurus'],,,N
8553,Gal(b1-3)[NeuNAc(a2-6)]GlcNAc(b1-4)[GlcNAc(b1-2)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Sus_scrofa'],,,N
8554,GalNAc(b1-4)GlcNAc(b1-2)Man,,,Eukarya,
8555,NeuNGc(a2-3)[GalOS(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc,,,Animalia,
8556,GlcOAcN(b1-3)GlcNAc(b1-3)GlcNAc(b1-3)GlcNAc(b1-4)[FucOMe(a1-6)]GlcNAc,,,Bacteria,
8557,Neu(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc,,,Bacteria,
8558,GlcNAc(b1-3)[GlcNAc(b1-4)]Gal,,,Bacteria,
8559,NeuNAc(a2-3)Gal(b1-3)GlcNAc(a1-3)Gal(b1-4)Glc,,,Bacteria,
8560,GalNAc(b1-4)[Man(a1-2)ManOPEtn(a1-2)Man(a1-6)]ManOPEtn(a1-4)GlcN,,,none,
8561,Man(a1-2)Man(a1-6)Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Eukarya,
8562,GalOS(b1-4)GlcNAc(b1-2)[GalOS(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],0,,
8563,Gal(a1-3)D-Rha(a1-3)D-Rha(b1-4)Glc,,,Bacteria,
8564,Ko(a2-4)[LDManHep(a1-2)DDManHep(a1-2)L-ThrHexA4en(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)[Glc(b1-4)]LDManHep(a1-5)]Kdo(a2-6)GlcN(b1-6)GlcN,,,Bacteria,
8565,Fruf(b2-1)[Glc(a1-2)][Glc(a1-3)]Fruf,,,Angiosperms,
8566,Gal(b1-3)[NeuNGc(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc(b1-6)]GalNAc,,,Chordata,
8567,GlcNAc(b1-3)Gal(b1-4)GalNAc(b1-6)GalNAc,,,Chordata,
8568,Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,,,Bacteria,
8569,Gal(a1-3)GlcNAc(a1-3)Rha(a1-3)Rha(a1-2)Gal,['Shigella_dysenteriae'],,,
8570,Abe(a1-3)Man(a1-4)Rha(a1-3)Gal(a1-2)Man,['Salmonella_enterica'],1,,
8571,GlcA(b1-4)GlcA(b1-4)GlcA(b1-4)GlcA,,,Bacteria,
8572,Man(a1-2)[Gal(a1-3)]Man(a1-2)ManN,['Schizosaccharomyces_pombe'],,,
8573,Man(a1-7)[Kdo(a2-8)]Kdo,,,Bacteria,
8574,Xyl(a1-6)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc-ol,"['Brassica_rapa', 'Tamarindus_indica']",,,
8575,GlcA(b1-3)Gal(b1-3)[GalNAc(a1-4)Gal(b1-4)][Fuc(a1-2)]Gal(b1-3)[GlcNAcOS(b1-6)]GalNAc,,,Chordata,
8576,GalNAc(a1-4)GalNAc(a1-3)GalNAc(b1-3)[D-FucNFo(a1-4)]GalA(a1-4)GalNAc,['Providencia_alcalifaciens'],,,
8577,GlcA(b1-4)Glc(b1-3)GlcA,['Lactococcus_lactis'],,,
8578,Glc(b1-4)GlcA(b1-4)[Rha(a1-3)]Glc(b1-4)L-Man(a1-3)Glc,['Pseudomonas_sp'],,,
8579,GlcOSN(a1-4)GlcA(b1-4)GlcOSN(a1-4)GlcOSA(b1-4)GlcOSN(a1-4)GlcOSN,['Escherichia_coli'],,,
8580,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Monjiviricetes,
8581,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Chordata,
8582,Rha(a1-8)Kdo(a2-5)[GlcAN(a1-4)]Kdo(a2-5)[Kdo(a2-4)]Kdo,"['Acinetobacter_baumannii', 'Acinetobacter_sp']",,,
8583,Qui(b1-2)Glc(b1-3)[Rha(a1-4)]Qui(b1-2)Glc(b1-2)D-Fuc,['Ipomoea_lonchophylla'],,,
8584,Fruf(b2-6)Fruf(b2-6)Fruf(b2-6)Glc(a1-2)Fruf,['Lolium_temulentum'],,,
8585,Gal(a1-6)Man(b1-4)Glc(b1-4)[Gal(a1-6)]Man(b1-4)Glc,['Nicotiana_tabacum'],,,
8586,Glc(a1-3)Rha(a1-4)Glc(b1-6)Glc,['Anemone_raddeana'],,,
8587,Glc(a1-3)LDManHep(a1-3)LDManHep(a1-5)Kdo,['Salmonella_minnesota'],,,
8588,Gal(a1-3)FucNAc(a1-3)GlcNAc(a1-3)Gal,['Escherichia_coli'],,,
8589,Glc(a1-3)[Glc(a1-4)]Gal,,,Bacteria,
8590,Fuc(a1-3)GalNAc(b1-3)Gal(b1-4)Gal(b1-3)[NeuNGc(a2-8)NeuNGc(a2-8)NeuNGc(a2-8)NeuNGc(a2-8)NeuNGc(a2-8)NeuNGc(a2-6)]GalNAc,,,Chordata,
8591,L-ThrHexOSA4en(a1-4)GlcNSOS(a1-4)IdoA(a1-4)GlcNAc(a1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl,,,Bacteria,
8592,Man(a1-4)Glc(b1-2)Man,['Drosera_capensis'],,,
8593,Man(a1-6)Man(a1-6)Man(a1-6)Man(b1-4)GlcNAc(b1-4)[Fuc(b1-6)]GlcNAc,,,Animalia,
8594,GalNAc(b1-4)GalNAc(b1-3)Gal(b1-4)Gal(b1-3)GalNAc,"['Oncorhynchus_masou_ishikawae', 'Oncorhynchus_mykiss']",,,O
8595,D-Fuc(a1-3)[Gal(a1-2)]Glcf(b1-3)D-Fuc,['Erwinia_amylovora'],,,
8596,[Gal(a1-3)]Gal(b1-3)GalNAc(a1-3)GlcNAc(b1-4)Fuc(a1-2)Gal,['Salmonella_milwaukee'],,,
8597,Rha(a1-3)Rha(a1-3)Rha(a1-3)Rha(a1-2)Rha(a1-2)Rha(a1-3)Rha(a1-3)Rha(a1-2)Rha(a1-3)Rha(a1-2)Rha(a1-3)Rha,,,Bacteria,
8598,Galf(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Aspergillus_niger'],,,N
8599,GlcNAc(b1-4)ManNAcA(b1-3)L-GalNAcOAcA,,,Bacteria,
8600,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Animalia,
8601,Glc(a1-2)Glc(a1-3)Glc(a1-3)Glc(a1-2)Man(a1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Mammalia,
8602,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcN(a1-4)GlcA(b1-4)GalA(a1-3)Glc(b1-6)Glc(a1-5)[Dha(a2-3)GalA(a1-3)Glc(b1-4)]Kdo(a1-4)GalA(a1-7)Kdo,,1,Bacteria,
