glycan_id,glycan,species,immunogenicity,inferred_origin,link
1,Glc(a1-1)[L-Xyl(b1-3)L-Xyl(b1-3)L-Xyl(b1-3)L-Xyl(b1-3)L-Xyl(b1-3)L-Xyl(b1-4)L-Aco(a1-3)Gal(b1-3)Glc(b1-4)]Glc,,,Bacteria,
2,GlcNAc(b1-2)[Gal(b1-3)[NeuNAc(a2-6)]GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,
3,Man(b1-2)Man(b1-2)D-4dLyxHexOMe,['Candida_albicans'],,,
4,Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)Glc,,,Eukarya,
5,GalA(a1-4)GalA(a1-4)GalA(a1-2)[GalOMe(a1-4)GalOMe(a1-4)]Rha,,,Angiosperms,
6,Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc,,,Chordata,
7,GlcA(b1-2)[Rha(a1-3)]Man,,,Bacteria,
8,Man(b1-3)[Man(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Angiosperms,
9,GlcOAcNOOle(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)[FucOMe(a1-6)]GlcNAc,['Bradyrhizobium_japonicum'],,,
10,Gal(b1-3)[D-Fuc(a1-3)GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,,,Chordata,
11,GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)[GlcNAc(b1-2)Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Gallus_gallus'],,,N
12,Fruf(b2-1)[Gal(a1-6)Gal(a1-6)Gal(a1-6)Gal(a1-6)Gal(a1-6)Gal(a1-6)]Glc,,,Basidiomycota,
13,Kdo(a2-4)[FucN(a1-3)QuiN(b1-3)Rha(a1-3)[Glc(a1-6)]Glc(b1-3)[Glc(a1-4)]GalN(a1-3)HepOP(b1-3)HepOP(b1-5)]Kdo(a2-6)GlcOPN(b1-6)GlcN,,,Bacteria,
14,Rha(a1-3)QuiNAc(b1-7)LDManHep(a1-2)Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)[Glc(b1-4)]LDManHep(a1-5)[AraN(b1-8)Ko(a2-4)]Kdo,['Burkholderia_cenocepacia'],,,
15,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Chordata,
16,XylHex(a1-4)Gal(b1-4)Glc,,,Bacteria,
17,AraOPN(b1-4)GlcN(a1-6)GlcOPN(b1-1)AraN,['Yersinia_pestis'],,,
18,Rha(a1-2)[Rha(a1-3)Gal(a1-3)GlcNAc(a1-4)]Rha(a1-2)Rha(a1-1)[Rha(a1-3)]Glc,,,Bacteria,
19,L-Ole(a1-3)Oli(b1-3)Oli,,,Dicotyledons,
20,Glc(b1-6)Glc(b1-4)L-ManOMe,,,Angiosperms,
21,Gal(b1-4)GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Chordata,
22,ManOPOMe(a1-2)Man(a1-2)Man(a1-2)Man(a1-3)Man,['Escherichia_coli'],,,
23,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Chordata,
24,GlcNAc(a1-2)Rha(a1-2)Rha(a1-3)Rha(a1-3)Rha,['Ralstonia_solanacearum'],,,
25,GalA(a1-2)[Araf(a1-5)Araf(a1-4)]Rha(b1-4)GalA,['Lupinus_angustifolius'],,,
26,Man(a1-2)D-RhaOMe(a1-3)D-Rha(a1-3)Man(a1-2)Man,['Burkholderia_multivorans'],,,
27,GalNAc(b1-4)[Fuc(a1-2)]Gal(b1-4)Glc,,,Animalia,
28,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,
29,MurNAc(a1-3)L-QuiNAc(a1-3)GlcNAc(b1-4)MurNAc,['Yersinia_ruckerii'],,,
30,Man(a1-2)Man(a1-2)[Man(a1-2)Man(a1-6)]Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Saccharomyces_cerevisiae'],,,N
31,Glc(b1-3)[GlcOMeA(b1-4)]Gal,,,Dicotyledons,
32,Galf(a1-2)[Galf(a1-3)]Man(a1-2)Man(a1-3)[Galf(a1-2)[Galf(a1-3)]Man(a1-2)Man(a1-6)]Man(a1-6)[Galf(a1-2)Man(a1-2)[Galf(a1-3)]Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAcN,['Schizosaccharomyces_pombe'],,,
33,ManOP(a1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],0,,N
34,GalOP(b1-3)Glc(b1-3)GalOP(b1-4)Man,['Leishmania_mexicana'],,,
35,Rha(a1-2)Rha(a1-3)Rha(b1-4)Rha,"['Burkholderia_vietnamiensis', 'Xanthomonas_axonopodis', 'Xanthomonas_citri']",1,,
36,Man(b1-4)Xyl(b1-4)[Gal(a1-3)]Glc(b1-6)[GlcA(a1-4)]Glc(b1-4)Man,['Nostoc_sphaeroids'],,,
37,Man(b1-4)Rha(a1-3)Gal(a1-6)Man(b1-4)Rha(a1-3)GalOAc(a1-6)Man,['Salmonella_typhi'],,,
38,NeuNAc(a2-3)Gal(b1-3)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-3)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-3)GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Calloselasma_rhodostoma'],,,N
39,GlcA(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,,,Bacteria,
40,ManNAc(b1-4)GlcNAc(b1-3)ManNAc,['Stenotrophomonas_maltophilia'],,,
41,GlcOPGro(b1-4)[Glc(a1-6)GalNAc(a1-3)]FucNAc(a1-3)[GlcNAc(b1-4)]GlcNAc(b1-2)GlcOPGro,['Yersinia_kristensenii'],,,
42,Man(b1-2)DDManHep(a1-3)[Man(b1-4)]DDManHep,['Coxiella_burnetii'],,,
43,GlcOPyr(b1-2)GlcA(b1-2)Rha(a1-3)Rha(a1-2)Rha(a1-3)Gal,,,Bacteria,
44,Glc(a1-4)[Glc(b1-3)]Gal(a1-3)[Glc(a1-4)]GlcNAc(a1-3)Rha(a1-6)Glc,['Escherichia_coli'],,,
45,Man(b1-3)[GlcNAc(b1-2)Man(a1-6)]Man(a1-4)GlcNAc(b1-4)GlcNAc,,,Eukarya,
46,FucNAc(a1-3)QuiNAcNBut(b1-4)FucNAc,['Plesiomonas_shigelloides'],1,,
47,D-Rha(a1-3)[Glc(a1-4)]Glc,,,Cladonia_substenius,
48,ManNAcA(b1-3)GlcNAc(a1-4)ManNAcA(b1-6)Glc(a1-4)ManNAcA,['Geobacillus_stearothermophilus'],,,
49,Man(a1-2)Man(a1-3)Man(b1-4)GlcNAc(b1-4)GlcNAc,['Vigna_radiata_radiata'],,,
50,GlcA(b1-2)[Gal(b1-2)LDManHep(a1-3)][GlcNAc(b1-4)Glc(b1-4)]LDManHep(a1-5)Kdo(a2-6)GlcNAc,,,Bacteria,
51,[Galf(b1-5)Galf(b1-2)]Man(a1-6)Man(b1-4)GlcNAc(b1-4)GlcNAcN,['Neurospora_crassa'],,,
52,GlcA(a1-2)[Xyl(b1-4)]Xyl(b1-4)Xyl(b1-4)Xyl,['Arabidopsis_thaliana'],,,
53,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Chordata,
54,NeuNGc(a2-6)Gal(b1-4)GlcNAc(b1-2)[NeuNGc(a2-6)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Chordata,
55,"Gal(a1-6)Glc(b1-3)2,5-Anhydro-TalOP",['Morganella_morganii'],,,
56,GlcNAc(b1-3)Gal(b1-4)Rha(b1-4)Ery-ol,['Streptococcus_suis'],,,
57,GlcNAcOMe(b1-2)D-Rha(a1-3)D-Rha(a1-3)D-Rha(a1-3)D-Rha(a1-2)Aco(a1-3)D-Rha(a1-3)D-Rha(a1-3)D-Rha(a1-3)D-Rha(a1-2)aldehyde-b-Tri-ol,,,Bacteria,
58,Glc(a1-3)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc,,,Ascomycota,
59,GlcNAc(b1-4)MurNAc(b1-4)GlcNAc(b1-4)MurNAcAla(b1-4)GlcNAc(b1-4)MurNAc(b1-4)GlcNAc(b1-4)MurNAcAla,['Bacillus_subtilis'],,,
60,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-4)Man(a1-3)[Gal(b1-4)GlcNAc(b1-4)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Chordata,
61,Man(a1-2)[Fuc(b1-3)]Rha,,,Bacteria,
62,GalNAc(a1-3)[D-Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-4)Gal(b1-4)Glc,,,Bacteria,
63,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc,"['Ginkgo_biloba', 'Komagataella_pastoris', 'Mus_musculus', 'Rhizopus_niveus', 'Solanum_lycopersicum']",,,N
64,GlcNAc(a1-3)Rha(b1-4)GlcNAc,,,Bacteria,
65,Gal(b1-2)Gal(b1-2)GalGro,['Bifidobacterium_bifidum'],,,
66,[Col(a1-2)]Gal(b1-3)[Col(a1-4)]GlcNAc(b1-4)GalA(a1-3)QuiNAc,['Vibrio_cholerae'],1,,
67,Fruf(b2-1)[Fruf(a2-6)]Glc,,,Angiosperms,
68,GalNAcOS(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,['Bos_taurus'],,,O
69,Glc(a1-3)Glc(b1-2)Glc,['Stevia_rebaudiana'],,,
70,GlcN(a1-7)LDManHep(a1-2)LDManHep(a1-3)[Gal(a1-4)GalN(b1-4)LDManHep(a1-6)Glc(b1-4)][LDManHep(a1-6)]LDManHep(a1-5)KdoOP(a2-6)GlcOPN(b1-6)GlcN,,,Bacteria,
71,[GalOAc(b1-2)D-Rha(a1-4)][GalOAc(a1-2)]GlcA(a1-3)[GalOAc(b1-6)]ManOAc(a1-3)GlcOAc(b1-3)GlcA,['Burkholderia_pyrrocinia'],,,
72,Galf(b1-3)[Gal(a1-2)]D-Fuc(a1-3)Galf,['Rahnella_aquatilis'],,,
73,Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc,,,Eukarya,
74,Glc(b1-4)Glc(b1-4)QuiOMe(b1-3)D-6dAraHexOMe,['Dregea_sinensis'],,,
75,GlcNAc(b1-3)[NeuNAc(a2-6)]Gal(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc,['Sus_scrofa'],,,O
76,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)Glc,,,Bacteria,
77,GalNAc(a1-4)ManNAcA(b1-6)GalNAc,['Azospirillum_brasilense'],1,,
78,QuiNAlaAc(b1-4)GalNAcA(a1-4)GalOAc(a1-2)QuiNAlaAc,['Pseudoalteromonas_haloplanktis'],1,,
79,[L-QuiNAc(a1-3)]GalNAcOAc(a1-6)GlcOP(a1-4)L-QuiNAc(a1-3)GlcNAc(b1-4)GalNAcOAc,['Escherichia_coli'],,,
80,Gal(b1-3)GalNAc(a1-4)GalNAc(b1-4)GlcNAcOP(b1-3)Man(b1-4)Glc,,,none,
81,NeuNGc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Monjiviricetes,
82,Ribf(b1-6)Glc(a1-2)Ribf,['Burkholderia_cepacia'],1,,
83,Man(a1-4)Man(a1-4)Man(a1-4)[Gal(a1-6)]Man,,,Ascomycota,
84,KdoOPEtn(a2-4)[LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)]Kdo,,,Bacteria,
85,GlcNSOS(b1-4)GlcA(b1-4)GlcOSN(a1-4)IdoOSA(a1-4)GlcNS,,,Bacteria,
86,[Xyl(b1-4)]Man(a1-3)Man(a1-3)[GlcA(b1-2)]Man(a1-3)Man,['Cryptococcus_neoformans'],,,
87,Kdo(a2-4)[Kdo(a2-6)GlcN(a1-4)GalA(a1-3)[GalA(b1-7)LDManHep(a1-7)]LDManHep(a1-3)[Gal(b1-6)Glc(b1-4)]LDManHep(a1-5)]Kdo,,,Bacteria,
88,Gal(b1-4)[Gal(b1-4)Glc(b1-6)]Glc,,,Bacteria,
89,Man(a1-3)Man(b1-2)Man(a1-2)[Man(a1-3)Man(a1-3)Man(a1-2)Man(a1-6)]Man(a1-3)[Man(a1-3)[Man(a1-3)Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Mammalia,
90,Rha(a1-3)Rha(a1-2)a-Tri-ol,,,Bacteria,
91,GlcA(b1-3)GlcNAc(b1-4)GlcA(b1-3)GlcNAc(b1-4)GlcA(b1-3)GlcNAc(b1-4)GlcA(b1-3)GlcNAc(b1-4)GlcA,,,Bacteria,
92,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc,['Escherichia_coli'],,,
93,NeuNGc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)[Gal(b1-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc,,,Chordata,
94,GlcNAc(b1-4)MurNAc(b1-4)GlcNAc(b1-4)MurNAc(b1-4)GlcNAc(b1-4)MurNAc,['Escherichia_coli'],,,
95,Glc(a1-4)Glc(a1-6)Glc,"['Aureobasidium_pullulans', 'Lactobacillus_reuteri', 'Oryza_sativa']",,,
96,Kdo(a2-4)[Glc(a1-3)LDManHep(a1-3)LDManHep(a1-5)]Kdo,,,Bacteria,
97,LDManNonUloNAcOFoN-onic(a2-3)D-FucNAc(b1-4)Xyl,,,Dicotyledons,
98,Man(a1-2)[Man(a1-2)Galf(b1-2)Galf(b1-2)Galf(b1-6)]Man(a1-2)[Man(a1-6)]Man(a1-2)[GalA(b1-2)Galf(b1-6)]Man(a1-2)[Man(a1-4)Glc(b1-4)Glc(b1-4)Glc(b1-4)Glc(b1-6)]Man(a1-2)Man(a1-2)Man(a1-2)Man,['Ophiocordyceps_sinensis'],,,
99,Glc(a1-4)GlcAOPyr(b1-6)Glc,['Promicromonospora_citrea'],,,
100,Man(b1-4)Man(b1-4)Man,"['Amorphophallus_konjac', 'Arum_maculatum', 'Bletilla_striata', 'Eichhornia_crassipes', 'Mimosa_scabrella', 'Narcissus_tazetta', 'Schizolobium_amazonicum', 'Schizolobium_parahyba', 'Stryphnodendron_adstringens']",,,
101,DigOFo(b1-4)DigOFo(b1-4)DigOFo,,,Fungi,
102,GalOSOEt(b1-4)IdoOSOEtA(a1-3)GalOSOEt(b1-4)IdoOSOEtA,,,Bacteria,
103,GalA(a1-4)[GalA(a1-5)]Kdo(a2-4)[GalA(a1-4)Man(a1-5)]Kdo,"['Escherichia_coli', 'Rhizobium_leguminosarum']",,,
104,Fuc(a1-3)GalNAc(b1-4)GlcNAc(b1-3)Gal,,,Eukarya,
105,GlcNAc(b1-4)Man(a1-3)[GlcNAc(b1-6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Chordata,
106,GalNAc(b1-3)Gal(b1-4)Gal(a1-4)Gal,,,Bacteria,
107,Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf,,,Actinobacteria,
108,GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Chordata,
109,D-FucNAlaAc(a1-4)Gal(b1-4)Glc(a1-4)[Glc(a1-2)]Glc(b1-3)GalNAc,"['Cronobacter_dublinensis', 'Cronobacter_sakazakii']",,,
110,Man(a1-3)[Man(a1-6)Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc-ol,['Aspergillus_oryzae'],,,
111,Man(a1-3)Man(a1-3)Gal(b1-2)[Man(a1-6)]Man(a1-2)[Man(a1-6)]Man(a1-2)Man,['Neodasyscypha_sp'],,,
112,NeuNGc(a2-3)Gal(b1-3)[NeuNGc(a2-6)]GlcNAc(b1-2)Man,['Holothuria_atria'],,,
113,NeuNAc(a2-8)NeuNAc(a2-3)[NeuNAc(a2-3)Gal(b1-3)[NeuNAc(a2-6)]GalNAc(b1-4)]Gal(b1-4)Glc,,,Chordata,
114,Man(a1-2)Man(a1-3)[Glc(a1-4)]Gal,,,Bacteria,
115,Glc(b1-3)[Gal(b1-4)GlcNAc(a1-2)Glc(b1-4)][Gal(b1-4)Glc(a1-2)Glc(b1-6)]Glc(a1-5)Kdo,,,Bacteria,
116,GlcAGroN(b1-4)Glc(b1-4)GalA(b1-3)GlcNAc(b1-3)GlcAGroN,['Escherichia_coli'],,,
117,GalA(a1-2)Rha(b1-2)Rha,['Salix_alba'],,,
118,Glc(b1-6)Glc(b1-4)Glc,,,Angiosperms,
119,Kdo(a2-8)[Kdo(a2-4)]Kdo(a2-4)Kdo(a2-6)GlcNAc,['Chlamydia_psittaci'],,,
120,Glc(b1-3)[Glc(b1-3)[GlcN(b1-6)]Glc(b1-6)]Glc(b1-6)Glc(b1-6)Glc,,,Basidiomycota,
121,DDManHep(a1-3)DDManHep(a1-3)DDManHep(a1-3)DDManHep(a1-3)Glc(a1-6)Glc(a1-6)Glc(a1-6)DDManHep(a1-3)Fuc,['Helicobacter_pylori'],,,
122,[GalOPyr(a1-4)GlcA(b1-3)GalOAc(a1-3)]Fuc(b1-4)FucOAc(a1-3)Glc(b1-4)Fuc,['Escherichia_coli'],,,
123,Gal(b1-2)Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc-ol,['Acer_pseudoplatanus'],,,
124,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],0,,N
125,Glc(a1-6)Glc(a1-3)a-Tri-ol,,,Bacteria,
126,Rha(a1-3)Glc(b1-3)Rha(a1-3)Rha(a1-3)Rha(a1-2)b-Tri-ol,,,Bacteria,
127,Rha(b1-2)[Glc(b1-2)Fuc(b1-4)]Glc,,,Angiosperms,
128,Man(a1-6)Gal(b1-4)Man(a1-6)Gal,,,Eukarya,
129,Gal(b1-3)Gal(b1-3)GalNAc(b1-4)Gal,['Mannheimia_haemolytica'],1,,
130,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)[Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,
131,GlcOMeAN(a1-2)[Xyl(b1-4)]Xyl,,,Angiosperms,
132,GlcNAc(a1-3)Rha(a1-3)Rha(a1-2)Gal,['Shigella_dysenteriae'],,,
133,Neu(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,
134,Glc(b1-4)Glc(b1-4)GlcF,,,none,
135,Glc(b1-4)GlcOAc(b1-3)[Glc(b1-2)]GlcOAcOCoum(a1-2)FrufOBzOFer,['Polygala_senega'],,,
136,Araf(a1-2)Xyl(a1-6)Glc(b1-4)Glc(b1-4)Glc(b1-4)Glc,,,Angiosperms,
137,NeuNGc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(a1-4)[D-Fuc(b1-6)]GlcNAc,,,Eukarya,
138,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAcOP,"['Saccharomyces_cerevisiae', 'Saccharomyces_uvarum', 'Schizosaccharomyces_pombe']",,,
139,PseOAcOFo(a2-4)Xyl(b1-3)D-FucfNAc,,,Bacteria,
140,PseOFo(a2-3)D-FucNAc(b1-4)Xyl,,,Dicotyledons,
141,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]Glc,,,Chordata,
142,"Glc(a1-4)2,3-Anhydro-All(a1-4)Glc",,,Angiosperms,
143,Rha(a1-2)Rha(a1-4)Glc(b1-6)Glc,['Guaiacum_officinale'],,,
144,GlcNAc(b1-4)Man(a1-6)[Man(a1-3)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,['Phaseolus_vulgaris'],,,N
145,LDManHepOPPEtn(a1-5)Kdo(a2-8)[KdoOPEtn(a2-4)]Kdo,['Escherichia_coli'],,,
146,Kdo(a2-4)[D-FucN(a1-3)QuiN(b1-3)Rha(a1-3)[Glc(a1-6)]Glc(b1-3)[Glc(a1-4)]GalN(a1-3)HepOP(b1-3)HepOP(b1-5)]Kdo(a2-6)GlcOPN(b1-6)GlcN,,,Bacteria,
147,NeuNAc(a2-8)NeuNAc(a2-9)NeuNAc,['Escherichia_coli'],,,
148,[ManNAc(a1-3)]Rha(a1-3)Rha(a1-3)Rha(a1-3)GalNAc(a1-2)Rha,['Escherichia_coli'],,,
149,Gal(b1-4)GlcNAc(b1-4)[GlcNAc(b1-2)]Man(a1-3)[Man(a1-3)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Gallus_gallus'],,,N
150,Gal(a1-6)Gal(b1-4)Glc,,,Fungi,
151,GlcNAc(b1-4)GlcNAc(b1-2)Man(a1-3)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,
152,D-Fuc(a1-2)DDManHep(a1-2)LDManHep(b1-3)LDManHepOPEtn(a1-5)Kdo,,,Bacteria,
153,Qui(b1-2)[GlcOMe(b1-3)Glc(b1-4)]Xyl,,,Angiosperms,
154,L-EryHexA4en(a1-4)L-GulA(a1-4)L-GulA,,,Bacteria,
155,Kdo(b2-3)ManOMe(b1-5)Kdo,"['Sinorhizobium_fredii', 'Sinorhizobium_sp']",,,
156,Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[GlcNAc(a1-6)Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc,,,Ascomycota,
157,Man(a1-3)Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-2)]Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Saccharomyces_cerevisiae'],,,N
158,Ara(a1-3)[Gal(b1-4)]GlcOMeA,,,Dicotyledons,
159,NeuNAc(a2-3)[NeuNAcOAc(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc,,,Bacteria,
160,Rha(a1-3)FucNAc(a1-3)QuiNAc,['Pseudomonas_chlororaphis'],,,
161,Ribf(b1-4)GalNAc(a1-2)Ribf,"['Burkholderia_cenocepacia', 'Burkholderia_cepacia']",1,,
162,Man(b1-4)Glc(b1-4)[Gal(a1-6)]Man(b1-4)Glc,['Nicotiana_tabacum'],,,
163,Gal(b1-3)FucNAc(a1-3)GlcNAc(b1-2)Gal,"['Citrobacter_braakii', 'Escherichia_coli']",1,,
164,Gal(a1-3)Gal(b1-4)Gal,,,Bacteria,
165,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,
166,Glc(a1-2)Glc(a1-2)GlcOP,,,Bacteria,
167,[Sug(b1-3)GalOAc(a1-2)]Man(a1-4)Rha(a1-3)Gal(a1-3)Man,['Pectobacterium_atrosepticum'],1,,
168,Gal(a1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-2)Man(a1-3)[Gal(a1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Chordata,
169,Kdo(a2-8)Kdo(a2-4)Kdo(a2-6)GlcNAcOPOAch(b1-6)GlcNAcOPOAch,['Chlamydia_trachomatis'],,,
170,Glc(b1-3)[Glc(b1-6)]Glc(b1-6)Glc(b1-6)Glc,,,Basidiomycota,
171,Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]GalNAc,,,Chordata,
172,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,
173,Rha(a1-2)Rha(a1-3)[Glc(b1-2)]Rha(a1-3)Rha,['Azospirillum_brasilense'],,,
